,Date,Open,High,Low,Close,Volume
0,2/1/2013,17.91833878,18.10713005,17.84685516,18.0137291,102033017
1,3/1/2013,18.05557251,18.22991943,17.95071602,18.0241909,93075567
2,4/1/2013,18.1654129,18.4675293,18.12406731,18.38035583,110954331
3,7/1/2013,18.31759071,18.41547394,18.19629669,18.30015755,66476239
4,8/1/2013,18.31983376,18.33876228,18.04311943,18.2640419,67295297
5,9/1/2013,18.23838806,18.3898201,18.14698029,18.38409233,81291563
6,10/1/2013,18.5014019,18.55545044,18.2690239,18.46777725,73703226
7,11/1/2013,18.48073006,18.49143982,18.33876228,18.43066788,51600690
8,14/1/2013,18.35619545,18.48571014,17.99131393,18.0137291,114985384
9,15/1/2013,17.91609573,18.30638313,17.73602104,18.05557251,157696879
10,16/1/2013,17.99255943,18.0408783,17.7751236,17.81298256,81239368
11,17/1/2013,17.87574768,17.92381668,17.7091217,17.7165947,88791570
12,18/1/2013,17.69268227,17.75270844,17.46777534,17.5469799,129555794
13,22/1/2013,17.5507164,17.56765175,17.32306862,17.50613213,152264594
14,23/1/2013,18.33104134,18.65507507,18.32605934,18.46827507,237249950
15,24/1/2013,18.46180153,18.85009575,18.44361877,18.78483963,135815168
16,25/1/2013,18.69916153,18.89119148,18.68620872,18.77139091,89369729
17,28/1/2013,18.72381973,18.81945992,18.62742996,18.69816589,65327951
18,29/1/2013,18.59903526,18.85308456,18.59380531,18.77163887,70145942
19,30/1/2013,18.77313423,18.95271111,18.75246048,18.77537537,69579828
20,31/1/2013,18.69268417,18.86977005,18.68620872,18.82170105,65613015
21,1/2/2013,18.88421631,19.34250069,18.88172722,19.31759262,150405652
22,4/2/2013,19.12058067,19.18982124,18.88596153,18.9046402,122075862
23,5/2/2013,18.95719337,19.20576286,18.91584969,19.07201385,75108474
24,6/2/2013,18.9058857,19.25183868,18.8916893,19.18235016,83435569
25,7/2/2013,19.17064476,19.39754295,19.06603622,19.27649689,114033831
26,8/2/2013,19.43041992,19.5933094,19.41622353,19.56093025,121256803
27,11/2/2013,19.38733292,19.50190163,19.2715168,19.48745537,87037018
28,12/2/2013,19.47076988,19.62394524,19.41149139,19.44461632,74638720
29,13/2/2013,19.43041992,19.56043243,19.42643547,19.49841499,48107646
30,14/2/2013,19.42045784,19.64486694,19.37163925,19.62195206,69672173
31,15/2/2013,19.61149025,19.75744438,19.60327148,19.74822807,109601278
32,19/2/2013,19.82543945,20.09966278,19.80775642,20.09592628,117711564
33,20/2/2013,20.05731964,20.14872742,19.72083092,19.73751831,110982436
34,21/2/2013,19.87550163,20.06105614,19.70663452,19.81398201,140781714
35,22/2/2013,19.90688324,19.9564476,19.7708931,19.91809273,82463941
36,25/2/2013,19.98259926,20.13478088,19.68845367,19.69542694,92501423
37,26/2/2013,19.80078125,19.82444382,19.53677177,19.67948532,88430220
38,27/2/2013,19.79579926,20.04362106,19.70389557,19.91983604,81347773
39,28/2/2013,19.95271111,20.09941292,19.9509697,19.9552021,90971711
40,1/3/2013,19.87051964,20.10314751,19.8294239,20.07948685,87342157
41,4/3/2013,20.05731964,20.49418259,20.04984856,20.4608078,111440145
42,5/3/2013,20.64586449,20.92531776,20.64511681,20.88671112,162370331
43,6/3/2013,20.94723511,21.02120781,20.64287567,20.70688629,115350748
44,7/3/2013,20.77363586,20.83739662,20.66205406,20.73727226,82415761
45,8/3/2013,20.78459358,20.79505539,20.54922676,20.71037292,116912581
46,11/3/2013,20.71460724,20.91410828,20.7098732,20.79256439,64027093
47,12/3/2013,20.6901989,20.71958733,20.51485443,20.61298752,80633104
48,13/3/2013,20.62021065,20.68969917,20.48098183,20.55570221,65898080
49,14/3/2013,20.59754562,20.59754562,20.35844231,20.46180344,66295564
50,15/3/2013,20.38608742,20.43091965,20.25757027,20.28148079,124452737
51,18/3/2013,20.04984856,20.24312401,19.96192741,20.11933708,73807616
52,19/3/2013,20.20526695,20.40476799,20.0859623,20.20725822,84242583
53,20/3/2013,20.34449387,20.36142921,20.21024704,20.29169273,58771467
54,21/3/2013,20.20651054,20.346735,20.17064476,20.20576477,59325536
55,22/3/2013,20.29243851,20.30489159,20.16541481,20.1821022,59751126
56,25/3/2013,20.23440552,20.40427017,20.0951786,20.16541481,68736680
57,26/3/2013,20.26155472,20.2740078,20.11933708,20.23465538,47854701
58,27/3/2013,20.09169006,20.09966278,19.95844078,19.99156761,86852328
59,28/3/2013,20.02469254,20.05906487,19.75844193,19.78060722,91855009
60,1/4/2013,19.80103111,19.98135567,19.75719452,19.95495415,72562968
61,2/4/2013,20.03839111,20.29468155,20.0249424,20.25009727,81966082
